i				f_x				x
1				-6968.176428734646				[20, 33]
2				-6968.176428729858				[65, 2]
3				-6968.1764287279575				[99, 55]
4				-6968.17642872889				[22.0, 22.2]
5				-6968.176428737008				[52.03, 1.66]
6				-6968.176428727003				[14.055, 13.0]
7				-6968.1764287283595				[14, 0.3]
8				-6968.176428737259				[33.89, 56.98]
9				-6968.176428727911				[100, 0]
10				-6968.1764287323585				[66, 32]
