Continue Solving part - False with Interval Halving Method 
 a : 1.5059275417501894 
 b : 4.5779275417501895 
#It			a			b			x_m
0			2.2739			3.8099			3.0419275417501894
1			2.6579			3.4259			3.0419275417501894
2			2.8499			3.2339			3.0419275417501894
3			2.9459			3.1379			3.0419275417501894
4			2.9939			3.0899			3.0419275417501894
5			3.0179			3.0659			3.0419275417501894
6			3.0299			3.0539			3.0419275417501894
7			3.0359			3.0479			3.0419275417501894
8			3.0389			3.0449			3.0419275417501894
9			3.0404			3.0434			3.0419275417501894
10			3.0412			3.0427			3.0419275417501894
11			3.0416			3.0423			3.0419275417501894
Value for new a : 3.04155254175019 and new b : 3.042302541750189 after interval halving method
