Continue Solving part - 1 with Interval Halving Method 
 a : 1.5678542458534066 
 b : 4.639854245853407 
#It			a			b			x_m
0			1.5679			3.1039			2.3358542458534064
1			1.9519			2.7199			2.3358542458534064
2			2.1439			2.5279			2.3358542458534064
3			2.2399			2.4319			2.3358542458534064
4			2.2879			2.3839			2.3358542458534064
5			2.3119			2.3599			2.3358542458534064
6			2.3239			2.3479			2.3358542458534064
7			2.3299			2.3419			2.3358542458534064
8			2.3329			2.3389			2.3358542458534064
9			2.3344			2.3374			2.3358542458534064
10			2.3351			2.3366			2.3358542458534064
11			2.3355			2.3362			2.3358542458534064
Value for new a : 2.335479245853407 and new b : 2.3362292458534064 after interval halving method
